subject	age	country	sex	education	race	hispanic_ethnicity
53c04378fdf99b360e022d92	26	US	Female	16	White	No
545cbbcafdf99b11ed040acf	28	US	Female	16	Asian	No
5484949efdf99b0379939cc6	38	US	Male	16	White	No
558955ebfdf99b6bd06016c9	32	US	Male	16	White	No
5589c7cefdf99b18bd86cf31	39	US	Male	16	White	No
558acd52fdf99b65685f03d9	31	US	Female	16	Black or African American	No
559cb12dfdf99b4989fb18ed	38	US	Female	16	American Indian or Alaska Native	No
55ae64defdf99b3f864653e7	26	US	Female	16	White	No
55b0029bfdf99b5c00619440	38	US	Female	12	Black or African American	No
55b249bdfdf99b28e3c14b05	36	US	Female	14	Black or African American	No
55bb9ae7fdf99b26d27fda01	36	US	Female	12	White	No
55beec67fdf99b6b670922f8	36	US	Male	16	White	No
55c43918fdf99b080551e044	34	US	Male	14	Asian	No
55c82012fdf99b02adc2a36e	38	US	Female	16	White	No
55ea70c37480920010aa9982	35	US	Male	12	Black or African American	No
55f1c2aa32af74000b170065	39	US	Female	12	Multiple	No
5607080ed7def20012b733c3	28	US	Female	16	White	No
56210effed6e5a000ac7f3a5	39	US	Male	16	White	No
56259489ed6e5a0005c80fde	36	US	Male	12	White	No
56279953ddff3c0005bcdba9	35	US	Female	18	White	No
5635d988dc62e5000bcb3eb2	32	US	Female	12	Multiple	No
564f4ee89b124900107eb4fb	28	US	Female	12	Black or African American	No
56514c84715ff50011a43878	35	US	Female	12	White	No
566a19b57da035000fb39b89	34	US	Male	16	Asian	No
568eca7be3ef9e000ca208fc	27	US	Male	16	White	No
56a38b45dbe850000cfd50c3	26	US	Male	16	Asian	No
56a40b90582971000c7b49b7	36	US	Male	16	Asian	No
56a93cf24020250005d62f2b	32	US	Female	16	White	No
56b8de29e1d0a200051517f8	40	US	Female	16	Asian	No
56d0f57421cd29000a9737e4	39	US	Male	16	White	No
56d39b96da2aaa000dab6178	36	US	Male	16	Asian	No
56e2d87a0756b2000da6303d	30	US	Male	16	White	No
56e77a8f38f932000a86e118	29	US	Female	18	White	No
56ec151f388e1d000a5924d0	37	US	Female	12	White	No
56fa002e8425ef000b3a4276	34	US	Male	16	White	Yes
56fc4404f758b80010affdbb	30	US	Male	12	Black or African American	No
570665aeac75a4000f94eddc	29	US	Male	12	Multiple	No
570b7b5fb9b52b00102d96f9	35	US	Female	14	White	No
571643bbcd6ea20009dbb6b0	33	US	Female	16	White	No
5726570ef2a83f000f6aea6d	33	US	Male	16	Black or African American	No
5727e394c68b5a000e397d8c	38	US	Male	16	Asian	No
57564c3d947a3d0007b545d6	39	US	Female	12	White	No
575865ba7b74a80006de2689	30	US	Male	12	White	Yes
5781c15381f331000139a89e	34	US	Female	16	White	No
5786d6076475d400015a959e	37	US	Male	12	White	No
57901207c9abeb0001af353e	34	US	Female	14	White	No
57d0a0bee3221e00015fe385	38	US	Male	12	White	Yes
57d6dd8d6598aa000199188b	33	US	Female	16	Asian	No
57d714de813eb30001825ac4	38	US	Female	12	White	No
57ff0e138f420f00011a5d0e	25	US	Female	16	White	Yes
580a494da38f4a00012ebfdc	26	US	Male	12	White	No
581bd344930a280001062c90	39	US	Female	16	White	Yes
