Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a0f170bb91e1b3c317eb4,5af238825847970001e34baf,APPROVED,2022-12-14T17:59:54.068000Z,2022-12-14T18:12:27.756000Z,2022-12-14T20:41:02.055000,2022-12-14T18:12:28.158938Z,754,CZELI6JD,559,English,Left-handed,22,Female,White,United States,United States,United States,English,No,Part-Time
639a121603d7a1ab35f64ed0,611101548d78ab5ec3a9c42e,APPROVED,2022-12-14T18:12:42.814000Z,2022-12-14T18:26:47.846000Z,2022-12-14T20:41:02.150000,2022-12-14T18:26:50.218699Z,846,CZELI6JD,914,English,Ambidextrous,37,Female,Mixed,United States,United States,United States,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a133c12c0ffb42fe0a14b,5ac5300f9534ba0001c7446b,APPROVED,2022-12-14T18:17:42.356000Z,2022-12-14T18:32:19.757000Z,2022-12-14T20:41:02.242000,2022-12-14T18:32:20.097689Z,878,CZELI6JD,2278,English,Left-handed,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a13f171561b207767c946,5e761a1c409bdd17b294f631,APPROVED,2022-12-14T18:20:35.803000Z,2022-12-14T18:30:16.359000Z,2022-12-14T20:41:02.540000,2022-12-14T18:30:16.907273Z,581,CZELI6JD,747,English,Left-handed,25,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a157d6d6babac7b12e771,5c0a22affe40eb00016262b6,APPROVED,2022-12-14T18:27:14.259000Z,2022-12-14T18:56:28.278000Z,2022-12-14T20:41:02.631000,2022-12-14T18:56:30.867322Z,1755,CZELI6JD,432,English,Ambidextrous,28,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
639a15ba47bedc102cc78030,6101ea599d7b137f326399c8,APPROVED,2022-12-14T18:28:13.762000Z,2022-12-14T18:41:24.050000Z,2022-12-14T20:41:02.723000,2022-12-14T18:41:24.381735Z,791,CZELI6JD,506,English,Left-handed,29,Female,White,United States,United States,United States,English,No,Part-Time
639a1bcfd4b8b1faa61709ba,62769797db0ff6f93df21cda,APPROVED,2022-12-14T18:54:11.259000Z,2022-12-14T19:11:07.936000Z,2022-12-14T20:41:02.825000,2022-12-14T19:11:12.936528Z,1017,CZELI6JD,217,English,Left-handed,40,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a1d8a7d9553720c10ee45,6323781f75962af097c34b5e,APPROVED,2022-12-14T19:01:33.350000Z,2022-12-14T19:10:46.848000Z,2022-12-14T20:41:02.919000,2022-12-14T19:10:50.002089Z,554,CZELI6JD,398,"Spanish, English",Left-handed,18,Male,Other,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking)
639a1f92171cda588e269392,5ddd1dd2b48da3c63a3ccdbb,APPROVED,2022-12-14T19:17:50.757000Z,2022-12-14T19:59:08.271000Z,2022-12-14T20:41:03.018000,2022-12-14T19:59:08.670553Z,2478,NOCODE,1845,English,Left-handed,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a2293483cd9fb18afd9b5,56514c84715ff50011a43878,APPROVED,2022-12-14T19:23:01.875000Z,2022-12-14T19:42:21.129000Z,2022-12-14T20:41:03.113000,2022-12-14T19:42:21.561878Z,1160,CZELI6JD,918,English,Left-handed,35,Female,White,United States,United States,United States,English,No,Full-Time
