Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a28c38b8fdfc93c455d10,5b066e00f58f8400018b0906,APPROVED,2022-12-14T19:49:31.602000Z,2022-12-14T20:38:19.316000Z,2022-12-14T23:17:11.723,2022-12-14T20:38:19.656633Z,2928,CZELI6JD,814,English,Right-handed,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a28d2b1e74e35ad4239f9,5d5dc2d37bfc8400013b653c,APPROVED,2022-12-14T19:49:42.425000Z,2022-12-14T20:08:59.012000Z,2022-12-14T23:17:11.830,2022-12-14T20:08:59.614795Z,1157,CZELI6JD,1289,English,Right-handed,21,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a28d66d980d1e09835697,616c9115b3a3d2f885822a57,APPROVED,2022-12-14T19:49:46.095000Z,2022-12-14T20:09:24.355000Z,2022-12-14T23:17:11.930,2022-12-14T20:09:24.763195Z,1179,CZELI6JD,2366,English,Right-handed,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a28df0e21650a21455d51,5ef6601481666334a551ebe7,APPROVED,2022-12-14T19:50:19.680000Z,2022-12-14T20:01:50.776000Z,2022-12-14T23:17:12.033,2022-12-14T20:01:51.162302Z,692,CZELI6JD,1372,"English, Chinese",Right-handed,23,Female,Asian,United States,United States,United States,Chinese,No,Unemployed (and job seeking)
639a28ecc809c27a4503c9e6,63026053812fe400f2929701,APPROVED,2022-12-14T19:53:56.747000Z,2022-12-14T20:07:41.725000Z,2022-12-14T23:17:12.404,2022-12-14T20:07:42.179328Z,825,CZELI6JD,549,"English, Spanish",Right-handed,38,Male,Mixed,United States,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a28ecd76a956f64ecbd02,5e5220711b676824eb24c172,APPROVED,2022-12-14T19:50:14.102000Z,2022-12-14T20:17:19.603000Z,2022-12-14T23:17:12.508,2022-12-14T20:17:19.993828Z,1626,CZELI6JD,920,English,Right-handed,28,Female,Black,United States,United States,United States,English,No,Full-Time
639a2901e30e87cbe22693a0,6108553abbf7a922fb6cfa3a,APPROVED,2022-12-14T19:50:29.712000Z,2022-12-14T20:03:41.192000Z,2022-12-14T23:17:12.619,2022-12-14T20:03:41.597546Z,792,CZELI6JD,531,English,Right-handed,24,Female,White,United States,United States,United States,English,Yes,Part-Time
639a290960b0479d98ecbc9e,5ca4bade374f11000118f010,APPROVED,2022-12-14T19:50:36.098000Z,2022-12-14T20:05:09.430000Z,2022-12-14T23:17:12.719,2022-12-14T20:05:09.742885Z,874,CZELI6JD,880,English,Right-handed,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a291270a22eb2ccf318cf,610024bfd6e1038ba3b1601d,APPROVED,2022-12-14T19:50:45.078000Z,2022-12-14T20:07:47.725000Z,2022-12-14T23:17:12.819,2022-12-14T20:07:50.104987Z,1023,CZELI6JD,1863,English,Right-handed,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
639a2917871a7f8ab303c9e9,631c790a9061cd8137fd215b,APPROVED,2022-12-14T19:50:50.463000Z,2022-12-14T20:01:33.219000Z,2022-12-14T23:17:12.928,2022-12-14T20:01:33.584301Z,643,CZELI6JD,272,English,Right-handed,26,Male,White,United States,United States,United States,English,No,Full-Time
