subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	headphonecheck_nCorrect	stereocheck_nCorrect	DL_right	DL_left	DL_other	DL_monoPctCorrect	DL_dualPctCorrect	DL_lat	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response	DL_i1_clickhand
54676961fdf99b7ba4d35cd6	z	67.5	67.5	65.625	67.96875	87.5	96.875	50	37.5	926.5	881.5	1982	2000	1106.5	841.65	0	0	0	0	5	6	71	30	19	100	84.17	40.5940594059406	-25	-25	-25	-12.5	-87.5	39	UK	Female	16	White	No	No	NA	NA	50
54876fe7fdf99b03efa64374	slash	76.25	93.75	84.375	85.15625	96.875	78.125	93.75	71.875	840.5	911.5	955	1004.5	943	1232.004	0	0	0	0	0	6	42	46	32	75	73.33	-4.545454545454546	-25	-25	0	-12.5	-62.5	36	UK	Male	16	White	No	No	NA	The Ah sounds was one of the most annoying things I've ever heard.	100
54e32a60fdf99b3eae9de85b	z	92.5	93.75	90.625	93.75	93.75	100	90.625	90.625	488	447	599	558	528	797.911	0	0	0	0	6	6	95	14	11	100	90.83	74.31192660550458	25	12.5	25	25	87.5	38	US	Female	16	White	No	No	NA	NA	50
550c3ed5fdf99b3039d68894	z	93.75	91.25	90.625	92.96875	93.75	90.625	93.75	93.75	873	820.5	944	929.5	897.5	844.636	0	0	0	0	1	3	54	50	16	95.83	86.67	3.8461538461538463	-25	-12.5	-25	-12.5	-75	36	UK	Female	8	White	No	No	NA	NA	100
5512eee1fdf99b7e1fb1be40	slash	90	88.75	78.125	92.1875	100	96.875	71.875	100	795	834	910	870	861	1551.793	0	0	0	0	6	6	55	27	38	83.33	68.33	34.146341463414636	-25	-25	-25	-25	-100	31	UK	Female	16	White	No	No	NA	NA	100
55519750fdf99b7f2114cc3e	z	97.5	77.5	100	84.375	96.875	100	68.75	71.875	905	829.5	1008.5	993.5	922.5	703.376	0	0	0	0	6	6	80	27	13	100	89.17	49.532710280373834	25	25	25	25	100	33	US	Male	16	White	No	No	NA	NA	100
5552121afdf99b74d81d09ef	slash	96.25	98.75	93.75	98.4375	100	100	93.75	100	438.5	579	536.5	484.5	501.5	959.282	0	0	0	0	5	6	58	35	27	83.33	77.5	24.731182795698924	-25	-25	-25	-25	-100	38	UK	Male	21	White	No	No	NA	NA	100
555e3c45fdf99b423b15e013	z	100	97.5	100	98.4375	100	96.875	96.875	100	460	471.5	551.5	528.5	520	605.129	0	0	0	0	6	6	80	26	14	100	88.33	50.943396226415096	25	12.5	25	12.5	75	35	UK	Male	16	White	No	No	NA	NA	100
558830fbfdf99b3a56b47ef5	slash	86.25	91.25	71.875	92.96875	96.875	100	78.125	96.875	685.5	714	934.5	727.5	739	591.14	0	0	0	0	0	6	58	42	20	91.67	83.33	16	25	-25	-25	12.5	-12.5	29	US	Female	16	Asian	No	No	NA	NA	100
558996f2fdf99b7ae47f5ed2	slash	85	95	100	87.5	100	100	68.75	81.25	842	847	982.5	991.5	879.5	1059.25	0	0	0	0	6	6	70	29	21	100	82.5	41.41414141414141	-25	-25	-25	-25	-100	36	UK	Male	12	White	No	Yes	I've done the ka/ga/pa/da etc. part before	I struggled picking up the small shapes in the second part	100
5596f7bdfdf99b4a8bd2d49f	z	98.75	96.25	96.875	97.65625	100	100	90.625	100	486	557	541.5	574	545.5	986.249	0	0	0	0	6	6	82	15	23	91.67	80.83	69.0721649484536	25	25	25	25	100	24	US	Male	16	Black or African American	No	No	NA	NA	100
