subject	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total
1	25	25	25	25	100
54676961fdf99b7ba4d35cd6	-25	-25	-25	-12.5	-87.5
54876fe7fdf99b03efa64374	-25	-25	0	-12.5	-62.5
54e32a60fdf99b3eae9de85b	25	12.5	25	25	87.5
550c3ed5fdf99b3039d68894	-25	-12.5	-25	-12.5	-75
5512eee1fdf99b7e1fb1be40	-25	-25	-25	-25	-100
55519750fdf99b7f2114cc3e	25	25	25	25	100
5552121afdf99b74d81d09ef	-25	-25	-25	-25	-100
555e3c45fdf99b423b15e013	25	12.5	25	12.5	75
558830fbfdf99b3a56b47ef5	25	-25	-25	12.5	-12.5
558996f2fdf99b7ae47f5ed2	-25	-25	-25	-25	-100
5596f7bdfdf99b4a8bd2d49f	25	25	25	25	100
55a47692fdf99b126e625257	25	25	25	25	100
55ad3f2dfdf99b563a2471c8	-25	25	-25	12.5	-12.5
55b42b7cfdf99b5244217cf4	12.5	12.5	12.5	25	62.5
55bd8669fdf99b5bfc7d4cfc	25	12.5	12.5	25	75
55d06fd334e9060012e5781c	-25	-25	-25	-25	-100
55d09e4934e9060005e5729a	-25	-12.5	-12.5	-25	-75
55d4c46f58c35800113dc131	25	25	0	25	75
55d51a6b8ce09000127d4821	-25	-25	-25	-25	-100
55da1c4669dbc30010b67569	25	12.5	12.5	12.5	62.5
55eb04337480920010aa9e0d	25	25	25	25	100
55f9e9564f51400011296872	-25	0	-25	-25	-75
5608a73fd7def20012b7389d	25	25	25	25	100
5611f6dd7ffc8a00058117e7	-25	-25	-25	-25	-100
5638d3a544e8c8000ee869a2	25	12.5	12.5	12.5	62.5
5640acc0074be600055e9afd	-25	-25	-12.5	-25	-87.5
564e93659b124900127eb55b	25	25	25	25	100
5654175604212700054a12b1	25	25	25	25	100
5658000ca9872d0011e1ba26	25	25	25	25	100
565955077d6957000adfe029	25	25	25	25	100
56b4b565b2de2a000d3316ba	25	25	25	25	100
56c89222dfea6c000bb23762	25	25	12.5	12.5	75
56d7623f04c67d000c7b9de6	12.5	12.5	12.5	12.5	50
56e1bb4e6ce054000b3ffcaf	-25	-12.5	-25	-25	-87.5
56f7f09335c4760006278fca	-25	12.5	-25	-12.5	-50
56fc8248b5648e000fac9980	25	25	25	25	100
571144323d47e800096358d9	25	25	25	25	100
5715699a30185b0008b40009	-25	-25	-25	-25	-100
5717864c94d4fc001297198d	-25	-25	-25	-25	-100
571f543bf6d15a0013df11e1	-25	12.5	0	-25	-37.5
572bcf0d34b25a000edd2cf1	12.5	0	25	25	62.5
572f8258ad13160010008a61	-25	0	-12.5	-12.5	-50
5732a7595bb657000f727f02	-25	-25	-25	-25	-100
5766d2f7fdff7a0001c1285b	-25	-25	-25	-25	-100
576745749dcd970001dbdd0b	-25	-25	-25	-25	-100
57739704c1b42d0001a58ae6	-25	12.5	-12.5	12.5	-12.5
577d1216b425c40001434b2f	-25	-25	-25	-25	-100
577d6a6c160201000103d7fc	25	25	12.5	25	87.5
578b5756160201000103fe40	25	12.5	12.5	12.5	62.5
579f1d3bc9abeb0001af52d8	25	25	25	25	100
57a5c633275be6000135b61c	-25	-25	0	-25	-75
57a9f41a16a091000112f1cf	-25	-12.5	-12.5	-12.5	-62.5
57bf2f693aa21900017f7ae6	25	25	25	25	100
57c2f3ed0c656b00019c5988	25	25	25	25	100
57c4761195a3ea00016e5992	-25	25	-25	-25	-50
57dab7f721d77800018e42fe	-25	0	-25	-25	-75
57dd3b0e91b7fc0001493db9	-25	25	-12.5	-12.5	-25
57ee8eb1e62704000199d5ae	25	25	25	12.5	87.5
58061b34c7b1100001138a1e	-12.5	-12.5	-12.5	-12.5	-50
5809006b2a296e0001005451	25	25	25	25	100
5862a405d22a5800014c4c27	12.5	-12.5	0	0	0
58635484a73baa00010db537	25	25	25	25	100
5870f3b92bd3c90001859a3d	25	25	-12.5	25	62.5
587674406e2f8d00015c6148	25	25	25	25	100
588093c6704f1100014a3d01	-25	25	0	-12.5	-12.5
589ce4d65e63bf00013b3175	25	12.5	25	25	87.5
589cf2a3f6cc2100012af256	-12.5	-12.5	-25	-25	-75
58a63a64ea3d11000170e1cc	25	25	25	25	100
58bfee7de5869400018f5e9e	-25	-25	25	-25	-50
58d954ec58d78900016eaf6d	-25	-25	-25	-25	-100
58ed2be2a083320001a13783	25	25	25	12.5	87.5
58eec4b09fbdde00011e95b0	-25	-25	-25	-25	-100
58f3913fcb9e9600013ca530	-25	-25	-25	-25	-100
590208c89571f50001c666e3	25	25	25	25	100
59098fbcc3338c000105a042	-25	-25	-25	-25	-100
59175c2896ffb800017c4caf	-25	-25	-25	-25	-100
592bb32c943e670001cde123	25	25	25	25	100
594425f07ccfd00001d3f462	-25	25	25	12.5	37.5
59451bd536b8f40001de0a83	-25	12.5	-25	-25	-62.5
594ec90eca6e670001b2c184	25	25	25	25	100
59528796a186be000114dc32	25	12.5	12.5	0	50
596f8a83c988c000015bf765	-25	-12.5	-12.5	12.5	-37.5
5971cee2f4058000011deea6	-25	-25	-25	-25	-100
597e1b3f9d51240001f1f71d	-25	-25	-25	-25	-100
598aee4fe65fa90001580921	-25	-12.5	12.5	-25	-50
599e74eeb4e8c80001d1147e	-25	-25	-25	-25	-100
59aae1188cef7d00011f8884	25	25	25	25	100
59c3eeac05da9d0001402bcd	-25	0	0	0	-25
59c4f0a2916c4d000109428a	-25	-25	0	-25	-75
59d6c032ea41450001ec76c9	25	12.5	25	25	87.5
59d9d9cd8fd07a0001842484	25	25	12.5	12.5	75
59dc458f77860e000151240e	25	12.5	25	0	62.5
59e27cc0c0d35a0001294e6b	-25	25	25	25	50
59e6f84616ecc200016ff141	-25	-25	-25	-25	-100
59f78f90a764fc000135f6e6	25	25	25	25	100
59ff81fd5d06850001afeeab	25	25	25	25	100
5a198755f2e3460001edc5c9	25	25	25	25	100
5a270517b4a5de00011af15c	25	12.5	25	25	87.5
5a2adf6a8e00a000019864fb	25	25	25	25	100
5a3bdd2c8d005a0001829f3e	25	25	25	25	100
5a47b7be2f91ec0001dcbfee	25	25	25	25	100
5a639a04c0d836000107b977	25	25	25	25	100
5a6f1ccade1f390001dbd8b7	25	12.5	12.5	12.5	62.5
5a6fd0626923df0001ef977b	25	25	25	25	100
5a7dc159000dab00018c5a06	25	12.5	-25	12.5	25
5a804807000dab00018c6e5a	-25	-25	12.5	-25	-62.5
5a8b3fa3b093f80001a80576	-12.5	-12.5	-12.5	-12.5	-50
5a8d8079190420000156435d	25	25	25	25	100
5a8f3dd5eea3d300016ece86	25	25	12.5	12.5	75
5a9f9e14b5e2110001c6f6f5	-25	-25	-25	-25	-100
5aac21406be3fa00013a2a51	-25	-25	-25	-12.5	-87.5
5ab10212fb22320001bacdfe	-25	25	-25	-25	-50
5ab65c67f69e940001d8e06c	-25	-25	-25	25	-50
5abd5f3b5cd105000161f167	-25	12.5	-25	-12.5	-50
5aca34565cd1050001626480	-25	-12.5	-25	-25	-87.5
5acf8cd5a010190001b34afa	-25	-12.5	-25	-25	-87.5
5ad0c55ad9f7470001db0e09	-25	-12.5	-25	-25	-87.5
5ad0c8fd4d061300011b07e4	25	25	25	25	100
5ad57f5c27c301000101d9c5	12.5	0	0	0	12.5
5ad59462045cb000015c9960	25	12.5	25	25	87.5
5ad5efefe2338200017798d4	-25	-12.5	-12.5	0	-50
5ae2b45afef71c0001bea628	25	12.5	25	25	87.5
5aeb063b2f05b500013028a0	-25	-25	-25	-25	-100
5aed87e375deca0001627011	-25	-25	-12.5	-25	-87.5
5af2f6c0c36b060001f80163	25	12.5	25	25	87.5
5af59378f856320001cf2ffc	-25	-12.5	-25	-25	-87.5
5af5e288e19f8c00019e3d09	0	-25	12.5	-25	-37.5
5afb134c57516b0001416b48	-25	-25	-25	-25	-100
5b12b275e9270900013c3e01	-25	-12.5	-25	-25	-87.5
5b2aac848580750001aa0b64	25	25	25	25	100
5b393581c49ecb00010a6693	-25	12.5	-25	-25	-62.5
5b421b9ac2e3810001763252	-25	-12.5	-25	-12.5	-75
5b4915add4c93b00019beed6	-25	25	25	25	50
5b494218ff7497000125219a	-25	-25	-25	-25	-100
5b50d6214e2d6800010b6092	12.5	0	0	-12.5	0
5b575da5f633200001232769	-25	-25	-25	-25	-100
5b59862535af16000164960a	25	12.5	0	12.5	50
5b5cff1c9351420001b78419	-25	-25	-25	-25	-100
5b6515e83662a8000158b2aa	25	25	25	25	100
5b6c312fa1fda800015fe165	-25	-25	-25	-12.5	-87.5
5b6c72f29dc5550001f8a514	25	25	12.5	0	62.5
5b6cf2c61b61b60001bc0678	-25	12.5	-12.5	-25	-50
5b72d1b972a6fc0001b2abc2	25	25	25	25	100
5b7ba10e4ba9cd0001e66fb4	25	25	25	25	100
5b7ecfe47a63030001019c35	-25	-25	-25	-25	-100
5b82e33f184f45000155f0ba	25	0	12.5	12.5	50
5b87cdc34dc3210001904196	-25	0	-25	-25	-75
5b87dd09019cf60001a115b3	-25	-12.5	-25	-12.5	-75
5b8c7161284d9b00019dee13	-25	12.5	0	0	-12.5
5b8e11444cd6dd0001bf07d9	25	25	25	25	100
5b920a69abfadc0001e7ffa9	25	12.5	12.5	12.5	62.5
5b9754dce1adf100014ac3d1	25	12.5	25	25	87.5
5b985404a15058000124e508	-25	25	25	25	50
5b9aa47491b20a0001176287	25	12.5	12.5	25	75
5ba3223a68b542000112c1b6	25	25	25	25	100
5ba6d507cf54e40001c45aaf	-25	25	-25	-25	-50
5ba849b3a2a1ae0001f08d2d	25	25	25	25	100
5baa7acf14779d0001a23968	-25	0	0	-12.5	-37.5
5bace423b95cc700014b5334	25	25	25	25	100
5bad4be8b712f30001b87947	25	25	0	25	75
5bad4db8b712f30001b87990	25	25	25	25	100
5bb0f624a1c73d0001b9d62d	-12.5	12.5	12.5	-12.5	0
5bb0f83f71e1b2000176c35b	-12.5	-25	-25	-25	-87.5
5bb535574cb73b00011437d0	12.5	0	-25	0	-12.5
5bbc18010cb04c00015025ce	-25	-25	-25	-25	-100
5bbd2bdcf7358a000171636f	-25	-12.5	-12.5	-12.5	-62.5
5bc10133904b2f000194b264	25	12.5	12.5	25	75
5bc9ed7f3d893f0001bee4b6	-25	-25	-25	-25	-100
5bdc4a3b0f86a60001be614a	12.5	-12.5	12.5	12.5	25
5bdfb648484288000130dad0	25	25	25	25	100
5be08379a34306000165f14c	-25	12.5	12.5	-25	-25
5be12624b08fb60001f5680a	-25	12.5	-25	-25	-62.5
5bea1d914e38ca00014b399e	25	12.5	12.5	12.5	62.5
5bead56b5324b10001c2551c	-25	-25	-25	-25	-100
5bebbb9694bff800011dc37c	25	25	25	25	100
5beccd423b6489000156596f	25	25	25	25	100
5befb6e27c387400016983bf	25	25	0	0	50
5bf19d37e657aa0001a2314a	25	25	25	25	100
5bfd8910eed5280001ead1dd	12.5	25	0	0	37.5
5c0004a72340e10001bfc3a0	-25	-25	-25	-25	-100
5c024be169406e00014e0b8e	25	25	25	25	100
5c0586b43199f4000153f133	-25	-25	-25	-25	-100
5c05c77f24419e0001a3094f	-25	-25	-25	-12.5	-87.5
5c086d3d3be61100011a694d	-25	-12.5	-25	-12.5	-75
5c0c28915b32d500012eef60	25	25	25	12.5	87.5
5c0e80423a0b8e000183089b	25	12.5	0	0	37.5
5c11f8202b16ba0001c8b764	25	12.5	-25	12.5	25
5c190c311e18d10001eca667	-25	-25	-25	-25	-100
5c2477b010677f0001db2661	25	25	12.5	25	87.5
5c28884289f035000174bfbe	-25	-25	-25	-25	-100
5c28c65636efd800010f30fb	25	25	25	25	100
5c2c189b867f660001af5dc5	25	25	0	12.5	62.5
5c2dae2110677f0001dd1137	-25	25	-25	-25	-50
5c2e33e751dcf20001b3204d	-25	0	-25	0	-50
5c37aa8b832a8400010983b3	25	12.5	12.5	12.5	62.5
5c395df5f5ebd50001850900	25	25	25	25	100
5c3dfadfef1d0d0001b2870e	25	25	25	25	100
5c3e80671580e9000122d168	25	25	25	25	100
5c4db2cd430fb000014d1448	-25	-12.5	-25	-25	-87.5
5c4e5f2ae5f00f0001542748	-25	25	-25	-12.5	-37.5
5c50046b2b89f500015e5f6b	25	-12.5	-25	25	12.5
5c560b6fccb08c0001e134a8	-25	-25	-12.5	-12.5	-75
5c56964991c0ad0001cfa5ae	-25	-12.5	-12.5	-12.5	-62.5
5c574d3f53fba80001bd302e	25	25	0	12.5	62.5
5c588d147831040001973ab3	25	0	-25	12.5	12.5
5c59f7cb4eea0b00017c9317	25	25	12.5	12.5	75
5c5cb3bf6a946500015a3411	-25	-12.5	-25	-25	-87.5
5c5ff87f8c0552000109d7de	-25	-25	-25	-25	-100
5c62fbd932207f00016bd19e	-12.5	0	-12.5	-12.5	-37.5
5c6325a730ccf800019350c6	0	25	0	0	25
5c663cd56fdc87000162e255	25	25	25	25	100
5c6838ea5f8d580001e8a8ab	-25	-25	-12.5	-25	-87.5
5c6849dc5b27b00001a340f5	-25	0	-25	0	-50
5c69bdaf81ea8900018aeccd	25	0	-12.5	-25	-12.5
5c6ddaefdf677d00013fa313	-25	-25	-25	-25	-100
5c707693db12e3000146b16d	-25	12.5	-25	-12.5	-50
5c742339e621f900163f4543	-25	25	25	-25	0
5c778f10848d2a0016b3c65d	25	12.5	25	12.5	75
5c799405e62652001656f06f	12.5	12.5	0	-12.5	12.5
5c7cf8b58ca9000001b52f6e	-25	25	-25	-25	-50
5c82c9a4d8302a00010639b8	25	25	25	25	100
5c858ca8eceaa40001d3f488	12.5	-12.5	12.5	-12.5	0
5c8d2f74e775150016db3700	-25	-12.5	-12.5	-12.5	-62.5
5c8f9fa8dfbf30001697845d	-25	-25	-25	-25	-100
5c92aa671ce0cd00128c6c86	-25	-25	-25	-25	-100
5c993969c6d15000019bbc4f	-25	-25	-25	-12.5	-87.5
5c9b3126a586fd00154d5440	-25	-25	-25	-25	-100
5c9d88bb2b3c77001744ec1c	-25	-25	-25	-25	-100
5ca3ccae7958d0001689df68	25	25	25	25	100
5caba2588d77140014bac508	-25	0	-12.5	-12.5	-50
5cadcbd3cdf3eb00136336a4	-25	-25	-25	-25	-100
5cb489ff0cd1ed0017465d19	25	25	12.5	25	87.5
5cb50cffce95710018cc9c9e	-25	-12.5	-25	-25	-87.5
5cbc345609683c00017c878a	-25	25	-25	-25	-50
5cbe04b4f429ff00159de30e	25	25	25	25	100
5cbe2edd577eb000184124b9	-25	12.5	12.5	-12.5	-12.5
5cc369725986a4001b4e9041	-12.5	-12.5	-12.5	-12.5	-50
5cc48c234bb96d00018a8bfe	-25	25	-25	-25	-50
5cc4969c3b1b1c0018f9da36	-25	-12.5	-12.5	-12.5	-62.5
5cc8039e3ef93000171c96b8	25	25	25	25	100
5cc93ce7627fc30013fc22aa	25	25	25	12.5	87.5
5cdfb7d5ed552600019dc9f3	25	25	25	25	100
5cec60a0de266200191eb2c9	-25	-12.5	-25	-25	-87.5
5cef892f0c5fb30018fbdfbe	-12.5	-25	-12.5	-12.5	-62.5
5cf510ccb0bafb00161ffd56	-25	0	-12.5	-12.5	-50
5d013b6597491100014a4fca	-25	-25	-25	-12.5	-87.5
5d02e8a7c087120001942ae7	-25	-12.5	-25	25	-37.5
5d09895e65eb3400189cc207	-25	-25	-25	-25	-100
5d09d2a3fcc453001981ee4e	25	25	25	25	100
5d0a831fac01cb001c691cb1	-25	-25	-25	-25	-100
5d0bff3d9599aa001a256b15	-25	0	-25	-25	-75
5d1426c8efc9c20001495f2f	25	25	12.5	12.5	75
5d15fedfa8eae10015738ed7	25	12.5	25	25	87.5
5d1652ba768bdf000154e37d	25	12.5	25	25	87.5
5d166f8340218700169a0814	-25	-25	-25	-25	-100
5d171334b49a4a0001e8aca4	25	25	25	25	100
5d17c7644700940015463ef1	25	25	25	25	100
5d17ce93ac37cd0019535088	25	12.5	25	12.5	75
5d19281012e152001920227f	25	25	25	25	100
5d1a21a834dc47000196b3fd	-25	-12.5	-25	-12.5	-75
5d1c92bc5f54410001ef8f0c	-25	-25	-25	-25	-100
5d206e075278fa001848134d	25	25	25	25	100
5d278e6a6f7c660019b56196	25	25	25	25	100
5d29187bd96c80001769ec41	25	25	25	12.5	87.5
5d2de4db914b6e001877da8f	-25	25	-25	-25	-50
5d2f7fb4bb27200019010768	-25	-25	-25	-25	-100
5d30752a0334500019f10720	-25	25	25	0	25
5d30ec10a5c3c900194c5d12	25	12.5	-25	25	37.5
5d3afd98bea4e90019c67c9f	-25	25	25	25	50
5d4254db5b2c430001418a3c	-25	-25	0	-25	-75
5d432a9dfc19f8001a2964e7	-25	-25	0	-25	-75
5d46daa91274770001916403	25	25	0	25	75
5d4a36e8a61675000169036f	-25	-12.5	-25	-25	-87.5
5d4a41890e604c00011ade8b	25	25	12.5	12.5	75
5d4c394a090b51001a1775fe	-25	-25	-25	-25	-100
5d4ca16427393e0001161cb2	25	25	25	25	100
5d55d562e04e1c0001f5e682	25	25	25	25	100
5d59b01348766d0016949e6a	25	25	25	25	100
5d5d13312a28f400015a5b6f	25	12.5	25	25	87.5
5d5d6e95909e4c0001b12fe8	-25	12.5	-25	-25	-62.5
5d5e39bd7427d30001d610ba	25	12.5	25	25	87.5
5d5e4baff521f100166c5d3a	25	25	25	25	100
5d612ae16512d700159face7	25	25	25	25	100
5d62886927a84f00010fbbb4	25	12.5	25	25	87.5
5d6472c63ca9fc00153d2ba4	-25	-12.5	0	0	-37.5
5d66b39acb411d00170f69d6	25	25	25	25	100
5d6ab68809f9270001dac666	25	25	25	25	100
5d6eb94fb861b60001e7760c	-25	-25	-25	-25	-100
5d728c6f1c91d40001a4b6ad	12.5	0	0	0	12.5
5d7695cc7ae60f001bc4bde6	25	12.5	0	25	62.5
5d7e1d2db5bd580017d11cec	-25	-25	-25	-25	-100
5d8125f63d05eb0001731115	25	25	12.5	25	87.5
5d849ee0a954540019f513dd	25	12.5	25	25	87.5
5d89435aa8e8120018a4e202	-25	-25	-25	-25	-100
5d8a2b0f887a21001543980f	25	25	12.5	12.5	75
5d8a797185a7f1001a27c3cf	25	12.5	25	25	87.5
5d8a9a8714087d001898dbbf	-25	12.5	-25	-25	-62.5
5d91daf3704e790018f47229	25	12.5	12.5	12.5	62.5
5d93c8c883e2470018a4f853	-25	-25	-25	-25	-100
5d959fdf9cf6ab001982afee	-25	12.5	12.5	0	0
5da179412996110016d853d5	25	12.5	12.5	0	50
5da3865a7f1f7d001005f581	-25	-12.5	-12.5	-25	-75
5db061b0f876e1001620e2ee	25	25	12.5	12.5	75
5db16ce33990ed0014564873	-25	12.5	-12.5	-25	-50
5db41a3f9ca75a000b71110c	-25	-12.5	-12.5	-12.5	-62.5
5db853720f6ebd000ba94ed8	25	12.5	12.5	0	50
5dbbfa90c486791b1bd03292	25	25	25	25	100
5dc52848b63adf3bbb43f869	-12.5	-12.5	-12.5	-12.5	-50
5dc61a4e1173bb4786278f33	25	25	25	25	100
5dcb6fb005be6f8311d7e836	25	25	25	25	100
5dcc836b6a24b5912d7c33f4	-25	-12.5	-25	-25	-87.5
5dcefcd0307b8d05031d7264	25	25	25	25	100
5dcfc4a09595a10cd3ef3e59	25	25	25	25	100
5dd2e29b2c5c102e6454227a	12.5	12.5	0	-12.5	12.5
5dd3e3cd5daaa63c5fdb7bb8	25	25	25	25	100
5dd3f2988f45b93cd7da62d3	25	25	12.5	12.5	75
5dd48444dd9a7447d224cc71	25	25	25	25	100
5dd72efa82569a6d38e06854	25	25	25	12.5	87.5
5dd742a140460e6e2b707d58	25	25	25	25	100
5dda7e609d9e309e55d8eeb2	-12.5	25	25	-25	12.5
5ddc3d39fce606ba6f9e1fa4	25	25	25	25	100
5ddd7db419eecbce5c2dbc6f	25	25	25	25	100
5de260b9553cee28d97b058d	-25	-12.5	-25	-25	-87.5
5de4eec72cf204481c6e5c1e	-25	25	25	25	50
5de5a131676a6d531c75b6ab	25	25	25	25	100
5de8734b44b3127e513ae247	-25	-12.5	-12.5	-12.5	-62.5
5de8bc74553cee8280a7dd84	25	25	12.5	12.5	75
5dea9f92c3aca11bffec8b7e	25	25	25	25	100
5ded38c39f631c3f7601388f	25	25	25	25	100
5dee72917309b950e5262f3a	25	25	12.5	12.5	75
5df15288b1fb0506c5fc6afb	25	12.5	25	12.5	75
5df8dfbb9b92b164c645b5b5	25	25	12.5	12.5	75
5dfac1ba83907981767ce907	12.5	12.5	12.5	12.5	50
5dfc64647adf4b971f329cbf	25	12.5	0	12.5	50
5e03f8517f08edece67a3137	25	25	25	25	100
5e126c25a98a7a8fab258f14	-25	-25	-12.5	-25	-87.5
5e13859753e8469d270982c0	-25	-25	-25	-25	-100
5e14f72f557425b04528df9a	-25	-12.5	0	0	-37.5
5e1582d9805a30b7d0c8b9c7	-25	0	-12.5	-12.5	-50
5e15da8a805a30bcd2ed796d	-25	-25	-25	-25	-100
5e185c397eeb87000d989683	25	25	25	25	100
5e1878b9a3d56c151399af37	-25	-25	-25	-25	-100
5e1cf0cfdc1a170855fd89c2	-25	12.5	12.5	-25	-25
5e212f851bad6c42f4faeece	25	0	25	25	75
5e24e9e7adb5b7773faa4522	-25	-25	-25	-12.5	-87.5
5e26f291ab132b92d1bb6544	25	0	0	0	25
5e282e43266894a3e79a6eaa	-25	-25	-25	-25	-100
5e29d82712b2f8029e117f2b	-25	-25	-25	-25	-100
5e2ef776425d8601c43079f2	-25	12.5	25	-25	-12.5
5e2ef88b30c15c000bbfae06	-25	-25	-12.5	-12.5	-75
5e30492697a58001749fce6b	-25	12.5	-25	-25	-62.5
5e30f51461ac040fd0d1b266	25	25	0	25	75
