subject	DL_i1_clickhand
1	100
54676961fdf99b7ba4d35cd6	50
54876fe7fdf99b03efa64374	100
54e32a60fdf99b3eae9de85b	50
550c3ed5fdf99b3039d68894	100
5512eee1fdf99b7e1fb1be40	100
55519750fdf99b7f2114cc3e	100
5552121afdf99b74d81d09ef	100
555e3c45fdf99b423b15e013	100
558830fbfdf99b3a56b47ef5	100
558996f2fdf99b7ae47f5ed2	100
5596f7bdfdf99b4a8bd2d49f	100
55a47692fdf99b126e625257	100
55ad3f2dfdf99b563a2471c8	100
55b42b7cfdf99b5244217cf4	100
55bd8669fdf99b5bfc7d4cfc	100
55d06fd334e9060012e5781c	100
55d09e4934e9060005e5729a	100
55d4c46f58c35800113dc131	100
55d51a6b8ce09000127d4821	-100
55da1c4669dbc30010b67569	100
55eb04337480920010aa9e0d	100
55f9e9564f51400011296872	50
5608a73fd7def20012b7389d	100
5611f6dd7ffc8a00058117e7	0
5638d3a544e8c8000ee869a2	100
5640acc0074be600055e9afd	-100
564e93659b124900127eb55b	100
5654175604212700054a12b1	100
5658000ca9872d0011e1ba26	100
565955077d6957000adfe029	100
56b4b565b2de2a000d3316ba	100
56c89222dfea6c000bb23762	100
56d7623f04c67d000c7b9de6	100
56e1bb4e6ce054000b3ffcaf	50
56f7f09335c4760006278fca	-100
56fc8248b5648e000fac9980	100
571144323d47e800096358d9	100
5715699a30185b0008b40009	100
57165ba7c5aca2000a8d32ca	100
5717864c94d4fc001297198d	-100
571f543bf6d15a0013df11e1	100
572bcf0d34b25a000edd2cf1	100
572f8258ad13160010008a61	50
5732a7595bb657000f727f02	100
5766d2f7fdff7a0001c1285b	100
576745749dcd970001dbdd0b	100
57739704c1b42d0001a58ae6	100
577d1216b425c40001434b2f	100
577d6a6c160201000103d7fc	100
578b5756160201000103fe40	100
579f1d3bc9abeb0001af52d8	100
57a5c633275be6000135b61c	100
57a9f41a16a091000112f1cf	-100
57bf2f693aa21900017f7ae6	100
57c2f3ed0c656b00019c5988	100
57c4761195a3ea00016e5992	100
57dab7f721d77800018e42fe	-100
57dd3b0e91b7fc0001493db9	100
57ee8eb1e62704000199d5ae	100
58061b34c7b1100001138a1e	100
5809006b2a296e0001005451	100
5862a405d22a5800014c4c27	-50
58635484a73baa00010db537	100
5870f3b92bd3c90001859a3d	100
587674406e2f8d00015c6148	100
588093c6704f1100014a3d01	100
589ce4d65e63bf00013b3175	100
589cf2a3f6cc2100012af256	100
58a63a64ea3d11000170e1cc	100
58bfee7de5869400018f5e9e	-100
58d954ec58d78900016eaf6d	-50
58ed2be2a083320001a13783	100
58eec4b09fbdde00011e95b0	100
58f3913fcb9e9600013ca530	-100
590208c89571f50001c666e3	100
59098fbcc3338c000105a042	-100
59175c2896ffb800017c4caf	-100
592bb32c943e670001cde123	100
594425f07ccfd00001d3f462	100
59451bd536b8f40001de0a83	100
594ec90eca6e670001b2c184	100
59528796a186be000114dc32	50
596f8a83c988c000015bf765	50
5971cee2f4058000011deea6	-100
597e1b3f9d51240001f1f71d	100
598aee4fe65fa90001580921	-100
599e74eeb4e8c80001d1147e	50
59aae1188cef7d00011f8884	100
59b85e50d793b40001459a2f	-100
59c3eeac05da9d0001402bcd	0
59c4f0a2916c4d000109428a	0
59d3d4026cc82800013e31a2	100
59d6c032ea41450001ec76c9	100
59d9d9cd8fd07a0001842484	100
59dc458f77860e000151240e	100
59e27cc0c0d35a0001294e6b	100
59e6f84616ecc200016ff141	-100
59f78f90a764fc000135f6e6	100
59ff81fd5d06850001afeeab	100
5a198755f2e3460001edc5c9	100
5a270517b4a5de00011af15c	100
5a2adf6a8e00a000019864fb	100
5a3bdd2c8d005a0001829f3e	100
5a47b7be2f91ec0001dcbfee	100
5a639a04c0d836000107b977	100
5a6f1ccade1f390001dbd8b7	-100
5a6fd0626923df0001ef977b	100
5a7dc159000dab00018c5a06	100
5a804807000dab00018c6e5a	100
5a8b3fa3b093f80001a80576	-50
5a8d8079190420000156435d	100
5a8f3dd5eea3d300016ece86	100
5a9f9e14b5e2110001c6f6f5	-100
5aac21406be3fa00013a2a51	50
5ab10212fb22320001bacdfe	100
5ab65c67f69e940001d8e06c	100
5abd5f3b5cd105000161f167	100
5aca34565cd1050001626480	100
5acf8cd5a010190001b34afa	100
5ad0c55ad9f7470001db0e09	100
5ad0c8fd4d061300011b07e4	100
5ad57f5c27c301000101d9c5	100
5ad59462045cb000015c9960	100
5ad5efefe2338200017798d4	100
5ae2b45afef71c0001bea628	100
5aeb063b2f05b500013028a0	-100
5aed87e375deca0001627011	100
5af2f6c0c36b060001f80163	50
5af59378f856320001cf2ffc	100
5af5e288e19f8c00019e3d09	0
5afb134c57516b0001416b48	-100
5b12b275e9270900013c3e01	-100
5b1f92bdc9d3cb0001107e75	100
5b2aac848580750001aa0b64	100
5b393581c49ecb00010a6693	100
5b421b9ac2e3810001763252	-100
5b4915add4c93b00019beed6	100
5b494218ff7497000125219a	-100
5b50d6214e2d6800010b6092	100
5b575da5f633200001232769	-100
5b59862535af16000164960a	50
5b5cff1c9351420001b78419	100
5b6515e83662a8000158b2aa	100
5b6c312fa1fda800015fe165	100
5b6c72f29dc5550001f8a514	100
5b6cf2c61b61b60001bc0678	100
5b72d1b972a6fc0001b2abc2	100
5b7ba10e4ba9cd0001e66fb4	100
5b7d518d1e35f0000173153c	100
5b7ecfe47a63030001019c35	100
5b82e33f184f45000155f0ba	100
5b87cdc34dc3210001904196	100
5b87dd09019cf60001a115b3	100
5b8c7161284d9b00019dee13	-50
5b8e11444cd6dd0001bf07d9	100
5b920a69abfadc0001e7ffa9	100
5b9754dce1adf100014ac3d1	100
5b985404a15058000124e508	50
5b9aa47491b20a0001176287	100
5ba3223a68b542000112c1b6	0
5ba6d507cf54e40001c45aaf	100
5ba849b3a2a1ae0001f08d2d	100
5baa7acf14779d0001a23968	-50
5bace423b95cc700014b5334	100
5bad4be8b712f30001b87947	100
5bad4db8b712f30001b87990	100
5bb0f624a1c73d0001b9d62d	100
5bb0f83f71e1b2000176c35b	50
5bb21a6ed14ec100019840fb	0
5bb535574cb73b00011437d0	50
5bbc18010cb04c00015025ce	100
5bbd2bdcf7358a000171636f	100
5bc10133904b2f000194b264	100
5bc9ed7f3d893f0001bee4b6	50
5bdc4a3b0f86a60001be614a	50
5bdfb648484288000130dad0	100
5be08379a34306000165f14c	-100
5be12624b08fb60001f5680a	-100
5be9b18df5c1060001085048	100
5bea1d914e38ca00014b399e	100
5bead56b5324b10001c2551c	100
5bebbb9694bff800011dc37c	100
5beccd423b6489000156596f	0
5befb6e27c387400016983bf	0
5bf19d37e657aa0001a2314a	100
5bfd8910eed5280001ead1dd	100
5c0004a72340e10001bfc3a0	-100
5c024be169406e00014e0b8e	100
5c0586b43199f4000153f133	0
5c05c77f24419e0001a3094f	100
5c086d3d3be61100011a694d	-50
5c0c28915b32d500012eef60	-50
5c0e80423a0b8e000183089b	100
5c11f8202b16ba0001c8b764	100
5c190c311e18d10001eca667	100
5c2477b010677f0001db2661	100
5c28884289f035000174bfbe	0
5c28c65636efd800010f30fb	100
5c2c189b867f660001af5dc5	100
5c2dae2110677f0001dd1137	100
5c2e33e751dcf20001b3204d	0
5c37aa8b832a8400010983b3	100
5c395df5f5ebd50001850900	100
5c3dfadfef1d0d0001b2870e	100
5c3e80671580e9000122d168	0
5c4db2cd430fb000014d1448	100
5c4e5f2ae5f00f0001542748	-50
5c50046b2b89f500015e5f6b	100
5c560b6fccb08c0001e134a8	50
5c56964991c0ad0001cfa5ae	100
5c574d3f53fba80001bd302e	100
5c588d147831040001973ab3	100
5c59f7cb4eea0b00017c9317	100
5c5cb3bf6a946500015a3411	-100
5c5ff87f8c0552000109d7de	-100
5c62fbd932207f00016bd19e	50
5c6325a730ccf800019350c6	100
5c663cd56fdc87000162e255	100
5c6709ab926a5b0001eb29c1	100
5c6838ea5f8d580001e8a8ab	100
5c6849dc5b27b00001a340f5	50
5c69bdaf81ea8900018aeccd	50
5c6ddaefdf677d00013fa313	-100
5c707693db12e3000146b16d	-100
5c742339e621f900163f4543	-100
5c778f10848d2a0016b3c65d	100
5c799405e62652001656f06f	50
5c7cf8b58ca9000001b52f6e	100
5c82c9a4d8302a00010639b8	100
5c858ca8eceaa40001d3f488	50
5c8d2f74e775150016db3700	100
5c8f9fa8dfbf30001697845d	100
5c92aa671ce0cd00128c6c86	100
5c993969c6d15000019bbc4f	0
5c9b3126a586fd00154d5440	-100
5c9d88bb2b3c77001744ec1c	100
5ca3ccae7958d0001689df68	100
5caba2588d77140014bac508	100
5cadcbd3cdf3eb00136336a4	100
5cb489ff0cd1ed0017465d19	100
5cb50cffce95710018cc9c9e	-100
5cbc345609683c00017c878a	100
5cbe04b4f429ff00159de30e	100
5cbe2edd577eb000184124b9	50
5cc369725986a4001b4e9041	-100
5cc48c234bb96d00018a8bfe	-50
5cc4969c3b1b1c0018f9da36	100
5cc8039e3ef93000171c96b8	100
5cc93ce7627fc30013fc22aa	0
5cd8d08636870e001901bd6e	100
