subject	headphonecheck_nCorrect	stereocheck_nCorrect	DL_right	DL_left	DL_other	DL_monoPctCorrect	DL_dualPctCorrect	DL_lat
54676961fdf99b7ba4d35cd6	5	6	71	30	19	100	84.17	40.5940594059406
54876fe7fdf99b03efa64374	0	6	42	46	32	75	73.33	-4.545454545454546
54e32a60fdf99b3eae9de85b	6	6	95	14	11	100	90.83	74.31192660550458
550c3ed5fdf99b3039d68894	1	3	54	50	16	95.83	86.67	3.8461538461538463
5512eee1fdf99b7e1fb1be40	6	6	55	27	38	83.33	68.33	34.146341463414636
55519750fdf99b7f2114cc3e	6	6	80	27	13	100	89.17	49.532710280373834
5552121afdf99b74d81d09ef	5	6	58	35	27	83.33	77.5	24.731182795698924
555e3c45fdf99b423b15e013	6	6	80	26	14	100	88.33	50.943396226415096
558830fbfdf99b3a56b47ef5	0	6	58	42	20	91.67	83.33	16
558996f2fdf99b7ae47f5ed2	6	6	70	29	21	100	82.5	41.41414141414141
5596f7bdfdf99b4a8bd2d49f	6	6	82	15	23	91.67	80.83	69.0721649484536
55a47692fdf99b126e625257	3	6	36	36	48	70.83	60	0
55ad3f2dfdf99b563a2471c8	6	6	35	68	17	95.83	85.83	-32.038834951456316
55b42b7cfdf99b5244217cf4	6	6	32	63	25	100	79.17	-32.631578947368425
55bd8669fdf99b5bfc7d4cfc	6	6	53	34	33	95.83	72.5	21.839080459770116
55d06fd334e9060012e5781c	6	6	61	36	23	95.83	80.83	25.773195876288657
55d09e4934e9060005e5729a	6	6	46	46	28	100	76.67	0
55d4c46f58c35800113dc131	6	6	55	43	22	91.67	81.67	12.244897959183673
55d51a6b8ce09000127d4821	6	6	20	91	9	100	92.5	-63.96396396396396
55da1c4669dbc30010b67569	5	6	62	37	21	95.83	82.5	25.252525252525253
55eb04337480920010aa9e0d	6	6	66	44	10	95.83	91.67	20
55f9e9564f51400011296872	6	5	86	15	19	91.67	84.17	70.29702970297029
5608a73fd7def20012b7389d	6	6	40	47	33	95.83	72.5	-8.045977011494253
5611f6dd7ffc8a00058117e7	3	4	27	26	67	58.33	44.17	1.8867924528301887
5638d3a544e8c8000ee869a2	5	6	75	12	33	87.5	72.5	72.41379310344827
5640acc0074be600055e9afd	6	6	69	28	23	83.33	80.83	42.2680412371134
564e93659b124900127eb55b	6	6	48	51	21	83.33	82.5	-3.0303030303030303
5654175604212700054a12b1	6	6	69	37	14	100	88.33	30.18867924528302
5658000ca9872d0011e1ba26	6	6	101	10	9	100	92.5	81.98198198198197
565955077d6957000adfe029	6	6	58	30	32	83.33	73.33	31.818181818181817
56b4b565b2de2a000d3316ba	6	6	52	52	16	100	86.67	0
56c89222dfea6c000bb23762	6	6	77	18	25	87.5	79.17	62.10526315789474
56d7623f04c67d000c7b9de6	6	6	51	44	25	100	79.17	7.368421052631578
56e1bb4e6ce054000b3ffcaf	6	6	76	31	13	100	89.17	42.05607476635514
56f7f09335c4760006278fca	4	6	43	63	14	100	88.33	-18.867924528301888
56fc8248b5648e000fac9980	6	6	61	37	22	91.67	81.67	24.489795918367346
571144323d47e800096358d9	6	6	76	27	17	83.33	85.83	47.57281553398058
5715699a30185b0008b40009	6	6	51	52	17	100	85.83	-0.9708737864077669
