subject	first_block	ehi	age	country	sex	education	race	hispanic_ethnicity	rt_overall	duration_s	task_experience_response	task_experience_other_response	open_ended_feedback_response	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	sample	sample2	prolific_handedness	handedness	exclude_country	exclude_age	exclude_done_before	exclude_no_ehi	exclude_ehi_mismatch	exclude
53c04378fdf99b360e022d92	z	62.5	26	US	Female	16	White	No	1137	749.121	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Right	0	0	0	0	0	0
545cbbcafdf99b11ed040acf	slash	62.5	28	US	Female	16	Asian	No	766.5	666.221	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
5484949efdf99b0379939cc6	slash	-100	38	US	Male	16	White	No	700.5	560.669	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
558955ebfdf99b6bd06016c9	slash	100	32	US	Male	16	White	No	546	502.891	No	NA	Thanks!	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5589c7cefdf99b18bd86cf31	z	-100	39	US	Male	16	White	No	611.5	546.068	No	NA	n	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
559cb12dfdf99b4989fb18ed	slash	-100	38	US	Female	16	American Indian or Alaska Native	No	1033.5	667.078	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
55ae64defdf99b3f864653e7	z	-50	26	US	Female	16	White	No	770	658.294	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
55b0029bfdf99b5c00619440	slash	87.5	38	US	Female	12	Black or African American	No	586	1053.577	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
55b249bdfdf99b28e3c14b05	slash	-100	36	US	Female	14	Black or African American	No	1150	965.935	No	NA	NA	0	1	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	1
55bb9ae7fdf99b26d27fda01	z	75	36	US	Female	12	White	No	833	860.42	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
55beec67fdf99b6b670922f8	slash	-100	36	US	Male	16	White	No	575.5	584.325	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
55c43918fdf99b080551e044	slash	100	34	US	Male	14	Asian	No	631.5	761.609	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
55c82012fdf99b02adc2a36e	z	100	38	US	Female	16	White	No	764	1341.884	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
55ea70c37480920010aa9982	z	75	35	US	Male	12	Black or African American	No	464	496.509	No	NA	No	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
55f1c2aa32af74000b170065	z	0	39	US	Female	12	Multiple	No	425	821.775	No	NA	Not today	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Mixed	0	0	0	0	0	0
5607080ed7def20012b733c3	slash	100	28	US	Female	16	White	No	500	754.31	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56210effed6e5a000ac7f3a5	slash	-12.5	39	US	Male	16	White	No	533.5	1092.967	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Mixed	0	0	0	0	0	0
56279953ddff3c0005bcdba9	slash	87.5	35	US	Female	18	White	No	835.5	703.889	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5635d988dc62e5000bcb3eb2	slash	-87.5	32	US	Female	12	Multiple	No	530	549.658	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
56514c84715ff50011a43878	z	37.5	35	US	Female	12	White	No	388.5	494.098	No	NA	N/A	0	0	0	0	Left/mixedies	Left/mixedies	Left	Mixed	0	0	0	0	1	1
568eca7be3ef9e000ca208fc	z	50	27	US	Male	16	White	No	856	632.754	No	NA	My eyes glazed over very quickly. I took this test after work, so my eyes are tired.	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Right	0	0	0	0	0	0
56a38b45dbe850000cfd50c3	slash	87.5	26	US	Male	16	Asian	No	498	528.233	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56a40b90582971000c7b49b7	slash	50	36	US	Male	16	Asian	No	891.5	2446.422	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56a93cf24020250005d62f2b	slash	100	32	US	Female	16	White	No	459	523.177	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56b8de29e1d0a200051517f8	z	-75	40	US	Female	16	Asian	No	801	669.833	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
56d0f57421cd29000a9737e4	slash	100	39	US	Male	16	White	No	903	833.453	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
56d39b96da2aaa000dab6178	z	100	36	US	Male	16	Asian	No	520	641.288	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56e2d87a0756b2000da6303d	z	100	30	US	Male	16	White	No	909	617.165	No	NA	I think the practice round was a bit too long.	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
56e77a8f38f932000a86e118	z	-87.5	29	US	Female	18	White	No	883	627	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
56ec151f388e1d000a5924d0	z	50	37	US	Female	12	White	No	808	723.328	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Right	0	0	0	0	0	0
56fa002e8425ef000b3a4276	z	-100	34	US	Male	16	White	Yes	981.5	1130.038	No	NA	thank you	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
56fc4404f758b80010affdbb	slash	100	30	US	Male	12	Black or African American	No	379.5	852.73	Not sure (please explain):	I think I did something similar to this where I had to use my right and/or left index finger depending on what I saw, as quickly and accurately as possible.	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
570665aeac75a4000f94eddc	z	-100	29	US	Male	12	Multiple	No	313.5	943.873	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
570b7b5fb9b52b00102d96f9	slash	100	35	US	Female	14	White	No	685	536.346	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
571643bbcd6ea20009dbb6b0	z	100	33	US	Female	16	White	No	941	616.314	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5726570ef2a83f000f6aea6d	z	-75	33	US	Male	16	Black or African American	No	509	732.418	No	NA	I accidentally used the > key for the first tests of the second round	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
575865ba7b74a80006de2689	slash	100	30	US	Male	12	White	Yes	488.5	898.086	No	NA	No comment.	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5781c15381f331000139a89e	slash	50	34	US	Female	16	White	No	1225	767.902	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Right	0	0	0	0	0	0
5786d6076475d400015a959e	z	-100	37	US	Male	12	White	No	798.5	798.245	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
57901207c9abeb0001af353e	z	100	34	US	Female	14	White	No	533	667.76	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
57d0a0bee3221e00015fe385	z	-100	38	US	Male	12	White	Yes	781.5	675.81	No	NA	inquisit is the devil	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
57d6dd8d6598aa000199188b	slash	87.5	33	US	Female	16	Asian	No	1004	609.559	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
57d714de813eb30001825ac4	slash	62.5	38	US	Female	12	White	No	520	785.21	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
57ff0e138f420f00011a5d0e	slash	37.5	25	US	Female	16	White	Yes	402	537.896	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Mixed	0	0	0	0	0	0
580a494da38f4a00012ebfdc	slash	62.5	26	US	Male	12	White	No	582	1922.31	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
581bd344930a280001062c90	slash	100	39	US	Female	16	White	Yes	814.5	716.092	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
581d38509b5b8800014d507e	slash	-50	39	US	Male	16	White	No	487.5	555.826	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
58211fc787f6b90001f13f90	slash	100	40	US	Male	16	White	No	554	524.145	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5825e055e81ab100013f16ce	slash	-100	29	US	Male	16	Multiple	No	926	711.668	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
582c71a66ef28c00019a1068	slash	-75	34	US	Male	12	White	No	773	832.117	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
583748dafb65a0000128b059	slash	-87.5	39	US	Male	16	American Indian or Alaska Native	Yes	600.5	642.514	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
58380cb9f1faf8000129673a	slash	-100	28	US	Male	14	White	No	768	636.658	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
583c47973f1540000163f02b	slash	100	35	US	Male	12	White	No	741.5	814.939	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
583f12f545073d0001fac52d	slash	100	36	US	Male	16	White	No	78	382.375	No	NA	NA	1	0	1	0	New righties	All righties	Right	Right	0	0	0	0	0	1
58935d5d4d77be0001689f14	z	-87.5	32	US	Male	14	White	No	713	513.857	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
58a43e029a17120001d910d5	slash	-87.5	39	US	Female	12	White	No	578.5	673.097	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
58dd769642b8e500017159d5	z	-62.5	25	US	Female	12	Black or African American	No	556	1687.399	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
58f76757fb4d7500014af761	slash	-62.5	30	US	Female	16	White	No	887	713.64	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
59014ee029f42300013cc5b7	z	75	35	US	Female	14	White	Yes	667	684.75	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5928b6414a05920001393ecf	z	100	31	US	Female	12	White	No	678	769.208	No	NA	Felt like I did better with my left hand even though I'm right handed	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
594936ad4152bf0001bfd5cd	z	87.5	29	US	Female	12	White	No	835.5	787.818	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
594a964c215cbd000146de75	z	100	33	US	Female	16	American Indian or Alaska Native	Yes	541	614.625	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
594a969df0ea1b0001558178	z	-87.5	30	US	Male	18	White	No	525.5	586.217	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
594ad91fa6fb8200018f720c	slash	-100	23	US	Female	12	Multiple	No	440.5	543.672	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
594c13bdb9380200018809c9	z	-25	40	US	Male	12	White	No	737	601.012	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Mixed	0	0	0	0	0	0
594c1e5a9160cb00011d6474	slash	-25	30	US	Male	16	White	No	488.5	704.967	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Mixed	0	0	0	0	0	0
59598e604c20120001517c99	slash	100	39	US	Male	12	White	No	888	975.686	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
595c5846faf83d0001494a68	z	-100	28	US	Male	16	White	No	586	577.164	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
596fea64a5c32a0001584755	z	75	30	US	Female	16	White	No	1098	700.419	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
59715b4b50e2f000016fe00e	slash	100	37	US	Male	16	White	No	152	464.707	No	NA	NA	1	0	1	0	New righties	All righties	Right	Right	0	0	0	0	0	1
597761dfd5ddf60001d14b20	slash	-100	37	US	Male	16	Asian	No	633.5	686.2	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
59a07638bfd73c00010ea394	z	75	23	US	Male	12	Black or African American	No	837	531.234	No	NA	NA	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
59b0106d834a170001d6061c	z	-100	38	US	Female	16	White	No	845.5	676.087	NA	NA	NA	0	0	0	0	New righties	All righties	Right	Left	0	0	0	0	1	1
59d5c894c732930001d88b5e	slash	62.5	30	US	Male	16	White	Yes	940	860.04	No	NA	none	0	0	0	0	Pilot righties	All righties	Right	Right	0	0	0	0	0	0
59d662aa0c0c7100015b9af6	z	100	40	US	Male	16	Asian	No	523	1606.912	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5a01e188ab721b0001ef7134	z	-87.5	36	US	Male	14	White	No	769.5	699.944	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Left	Left	0	0	0	0	0	0
5a04869ff2e3460001edad2e	z	100	31	US	Male	12	White	No	912.5	935.733	No	NA	NA	0	0	0	0	New righties	All righties	Right	Right	0	0	0	0	0	0
5a348ea750833c0001ee9550	slash	-25	35	US	Female	16	White	No	496.5	663.315	No	NA	NA	0	0	0	0	Left/mixedies	Left/mixedies	Mixed	Mixed	0	0	0	0	0	0
