subject	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total
53c04378fdf99b360e022d92	25	12.5	12.5	12.5	62.5
545cbbcafdf99b11ed040acf	25	12.5	12.5	12.5	62.5
5484949efdf99b0379939cc6	-25	-25	-25	-25	-100
558955ebfdf99b6bd06016c9	25	25	25	25	100
5589c7cefdf99b18bd86cf31	-25	-25	-25	-25	-100
559cb12dfdf99b4989fb18ed	-25	-25	-25	-25	-100
55ae64defdf99b3f864653e7	-25	0	0	-25	-50
55b0029bfdf99b5c00619440	25	12.5	25	25	87.5
55b249bdfdf99b28e3c14b05	-25	-25	-25	-25	-100
55bb9ae7fdf99b26d27fda01	25	25	12.5	12.5	75
55beec67fdf99b6b670922f8	-25	-25	-25	-25	-100
55c43918fdf99b080551e044	25	25	25	25	100
55c82012fdf99b02adc2a36e	25	25	25	25	100
55ea70c37480920010aa9982	25	12.5	25	12.5	75
55f1c2aa32af74000b170065	12.5	0	-12.5	0	0
5607080ed7def20012b733c3	25	25	25	25	100
56210effed6e5a000ac7f3a5	-25	25	0	-12.5	-12.5
56279953ddff3c0005bcdba9	25	25	12.5	25	87.5
5635d988dc62e5000bcb3eb2	-25	-12.5	-25	-25	-87.5
56514c84715ff50011a43878	-25	12.5	25	25	37.5
568eca7be3ef9e000ca208fc	25	-25	25	25	50
56a38b45dbe850000cfd50c3	25	25	12.5	25	87.5
56a40b90582971000c7b49b7	25	25	-12.5	12.5	50
56a93cf24020250005d62f2b	25	25	25	25	100
56b8de29e1d0a200051517f8	-25	-25	-12.5	-12.5	-75
56d0f57421cd29000a9737e4	25	25	25	25	100
56d39b96da2aaa000dab6178	25	25	25	25	100
56e2d87a0756b2000da6303d	25	25	25	25	100
56e77a8f38f932000a86e118	-25	-12.5	-25	-25	-87.5
56ec151f388e1d000a5924d0	25	0	12.5	12.5	50
56fa002e8425ef000b3a4276	-25	-25	-25	-25	-100
56fc4404f758b80010affdbb	25	25	25	25	100
570665aeac75a4000f94eddc	-25	-25	-25	-25	-100
570b7b5fb9b52b00102d96f9	25	25	25	25	100
571643bbcd6ea20009dbb6b0	25	25	25	25	100
5726570ef2a83f000f6aea6d	-25	-25	-12.5	-12.5	-75
575865ba7b74a80006de2689	25	25	25	25	100
5781c15381f331000139a89e	12.5	12.5	12.5	12.5	50
5786d6076475d400015a959e	-25	-25	-25	-25	-100
57901207c9abeb0001af353e	25	25	25	25	100
57d0a0bee3221e00015fe385	-25	-25	-25	-25	-100
57d6dd8d6598aa000199188b	25	25	25	12.5	87.5
57d714de813eb30001825ac4	25	12.5	12.5	12.5	62.5
57ff0e138f420f00011a5d0e	25	25	0	-12.5	37.5
580a494da38f4a00012ebfdc	12.5	25	12.5	12.5	62.5
581bd344930a280001062c90	25	25	25	25	100
581d38509b5b8800014d507e	-25	0	0	-25	-50
58211fc787f6b90001f13f90	25	25	25	25	100
5825e055e81ab100013f16ce	-25	-25	-25	-25	-100
582c71a66ef28c00019a1068	-25	-25	-12.5	-12.5	-75
583748dafb65a0000128b059	-25	-25	-12.5	-25	-87.5
58380cb9f1faf8000129673a	-25	-25	-25	-25	-100
583c47973f1540000163f02b	25	25	25	25	100
583f12f545073d0001fac52d	25	25	25	25	100
58935d5d4d77be0001689f14	-25	-25	-25	-12.5	-87.5
58a43e029a17120001d910d5	-25	-12.5	-25	-25	-87.5
58dd769642b8e500017159d5	-25	-12.5	-12.5	-12.5	-62.5
58f76757fb4d7500014af761	-25	12.5	-25	-25	-62.5
59014ee029f42300013cc5b7	25	25	0	25	75
5928b6414a05920001393ecf	25	25	25	25	100
594936ad4152bf0001bfd5cd	25	12.5	25	25	87.5
594a964c215cbd000146de75	25	25	25	25	100
594a969df0ea1b0001558178	-25	-25	-12.5	-25	-87.5
594ad91fa6fb8200018f720c	-25	-25	-25	-25	-100
594c13bdb9380200018809c9	-25	0	0	0	-25
594c1e5a9160cb00011d6474	-25	-12.5	0	12.5	-25
59598e604c20120001517c99	25	25	25	25	100
595c5846faf83d0001494a68	-25	-25	-25	-25	-100
596fea64a5c32a0001584755	25	12.5	25	12.5	75
59715b4b50e2f000016fe00e	25	25	25	25	100
597761dfd5ddf60001d14b20	-25	-25	-25	-25	-100
59a07638bfd73c00010ea394	25	12.5	25	12.5	75
59b0106d834a170001d6061c	-25	-25	-25	-25	-100
59d5c894c732930001d88b5e	25	25	0	12.5	62.5
59d662aa0c0c7100015b9af6	25	25	25	25	100
5a01e188ab721b0001ef7134	-25	-12.5	-25	-25	-87.5
5a04869ff2e3460001edad2e	25	25	25	25	100
5a348ea750833c0001ee9550	25	0	-25	-25	-25
5a35ecbf57d4450001236fd3	-25	-25	-25	-25	-100
5a4aef0b56ec1100014a3e76	-25	12.5	-25	-25	-62.5
5a4c1ecaefd8df0001d34305	-25	-25	-12.5	-25	-87.5
5a4c358dac413f0001e608b5	-25	0	-25	-25	-75
5a5e94a7eedc32000142cd08	25	25	25	25	100
5a6ff39ef660ae0001a9837e	12.5	25	12.5	25	75
5a776b5aae9a0b0001a9631d	-25	25	-25	-25	-50
5a78dbb9ae9a0b0001a97212	25	25	25	25	100
5a78e410ae9a0b0001a97274	-12.5	12.5	-12.5	-12.5	-25
5a7ab4c0f1408d0001761db7	25	25	25	25	100
5a876665ae9a0b0001a9fbe3	-25	12.5	-25	-25	-62.5
5a8ac2d8f49c9a0001f3ab34	-25	-25	-25	-25	-100
5a94ca1a873cda0001dc7147	25	12.5	12.5	12.5	62.5
5a98b39b89de8200013ef94f	25	25	25	25	100
5a99f17035237b0001128ff2	-25	-12.5	-25	-25	-87.5
5a9dd8b1873cda00010d18c5	25	12.5	25	12.5	75
5aa3609e6475f90001a04905	25	12.5	12.5	25	75
5aa6e29435237b0001130d68	-25	-25	-12.5	-25	-87.5
5aadbe52811b2000016f7633	-25	-25	-25	-25	-100
5ab7c19e1667e40001d7cd93	25	25	25	25	100
5abe6156e1546900019bc55d	-25	-25	-25	-12.5	-87.5
5ac4c730f69e940001d977e1	-25	-25	-25	-25	-100
5ac5300f9534ba0001c7446b	-25	12.5	12.5	-25	-25
5ac6ca185cd105000162499d	25	25	25	25	100
5acb69b70527ba0001c25872	25	25	25	25	100
5ad0f1934d061300011b0a4d	25	25	12.5	25	87.5
5ad7835e9c198c0001fad31a	25	25	25	25	100
5adef850eb60400001539109	25	25	25	25	100
5adf3828dee8590001b05860	25	25	25	25	100
5ae3a41d32ef52000131a531	25	0	0	0	25
5ae7f99bd5ec5e000175f097	-25	-12.5	0	-25	-62.5
5aee513f3606ab0001b92b29	-25	25	-25	-25	-50
5aee59100ccc2e000185937c	25	25	12.5	12.5	75
5af238825847970001e34baf	-25	-25	-25	-25	-100
5af309960eca060001b15b47	-25	25	-25	-25	-50
5af491b6222e4d0001877572	25	25	25	25	100
5b066e00f58f8400018b0906	25	25	12.5	25	87.5
5b0cb441444cef0001ca5fbd	-25	25	-25	-12.5	-37.5
5b0eca46bd9c310001567c4f	25	-12.5	12.5	0	25
5b15307351caaf0001228d9b	25	25	25	25	100
5b182365316c630001abff4f	-25	-12.5	-25	-25	-87.5
5b2913910ec82d0001d2578d	25	12.5	25	12.5	75
5b3e2334cdb4ce0001d93c51	25	25	25	12.5	87.5
5b48a9e14acd54000132a67f	-25	25	25	25	50
5b4a54b4ee41890001ae51b6	-25	25	-12.5	-25	-37.5
5b4a6e57d317a20001e2d051	-25	0	-25	-12.5	-62.5
5b5c8d4e10aec90001ed4bee	-25	0	-25	-25	-75
5b5d13d25256470001bc5ef2	-25	25	-25	-25	-50
5b666901f7798c000182c01c	25	25	25	25	100
